rms1,rms2,rms3,corr12,corr13,corr23,plv_low_12,plv_mid_23,plv_high_13,pac_low_high_13,pac_low_mid_12,g12,g13,g23,lam,objective
0.0012517362462269,8.746711684255516e-06,2.057924953074516e-06,-0.8632069597056728,-0.994732560994192,0.9059679647903858,1.0,1.0,1.0,0.0267640792358571,0.0444887539494239,0.05,0.05,0.05,0.0,3.071252833185281
0.0012517412252279,8.751292962817488e-06,1.5742342361784243e-06,-0.8628230194029923,-0.9942474572075752,0.8955828475130574,1.0,1.0,1.0,0.0280413086963422,0.0431658228893075,0.05,0.02,0.0,0.01,3.0712071315856497
0.0012517724856031,9.099524309984012e-06,1.5782159957661577e-06,-0.8128635241211224,-0.994470221530484,0.8513054268701603,1.0,1.0,1.0,0.0280367757753103,0.0431611657501095,0.02,0.02,0.05,0.01,3.0711979415254196
0.0012517362040406,8.749457380219907e-06,2.051205629779933e-06,-0.862977282282378,-0.9945855328954866,0.9064994318133122,1.0,1.0,1.0,0.0267440524623927,0.0443923141757029,0.05,0.05,0.02,0.0,3.0711363666380955
0.0012517936778936,9.371773491449876e-06,1.578413388654043e-06,-0.7561137654814604,-0.9944708368220144,0.801492566777723,1.0,1.0,1.0,0.0280323419982943,0.0430779045434298,0.0,0.02,0.05,0.0,3.071110246541724
0.0012517761667578,9.10458696104798e-06,1.3933136681706542e-06,-0.8122562608865673,-0.9914958068453514,0.8360784668741672,1.0,1.0,1.0,0.0281729969185282,0.042926157613528,0.02,0.0,0.0,0.0,3.0710991545320563
0.0012517449402289,8.74936110186408e-06,1.391653557943995e-06,-0.8629881349768931,-0.991562646643566,0.8791717443885047,1.0,1.0,1.0,0.0267518392570336,0.0443165975182729,0.05,0.0,0.02,0.01,3.0710684367753065
0.0012517449485563,8.746479747042369e-06,1.389308670590194e-06,-0.8632339693573841,-0.9916554170402068,0.8780984441303913,1.0,1.0,1.0,0.027176048002414,0.0438249270621456,0.05,0.0,0.05,0.01,3.0710009750645595
0.0012517973644381,9.37486642754627e-06,1.3917547455728528e-06,-0.7556225968817539,-0.9915683150533924,0.7847601532658016,1.0,1.0,1.0,0.0267704766740443,0.0442285300611299,0.0,0.0,0.02,0.03,3.0709990067351742
0.0012517412251998,8.751292696637308e-06,1.5742364415931872e-06,-0.8628230521790116,-0.994247463356878,0.8955829158218385,1.0,1.0,1.0,0.027187466601363,0.0437723419046974,0.05,0.02,0.0,0.03,3.0709598085060605
0.0012517449402441,8.749361248030342e-06,1.3916530890749469e-06,-0.8629881171980022,-0.9915626314709994,0.8791716722931723,1.0,1.0,1.0,0.0267717852878878,0.0441842229115694,0.05,0.0,0.02,0.0,3.0709560081994574
0.0012517362040042,8.749457047159275e-06,2.051210621420159e-06,-0.8629773241913878,-0.9945855337924636,0.9064994800383468,1.0,1.0,1.0,0.0271712908402653,0.0437061884929465,0.05,0.05,0.02,0.03,3.0708774793332116
0.0012517449485715,8.746479891717648e-06,1.3893081781520342e-06,-0.8632339517838011,-0.9916554018304952,0.878098370483272,1.0,1.0,1.0,0.0271760879715406,0.0436875286258544,0.05,0.0,0.05,0.0,3.070863616597395
0.0012517724856172,9.099524453189776e-06,1.5782147892292293e-06,-0.8128634998870474,-0.99447021813846,0.8513053702632684,1.0,1.0,1.0,0.0272028396826767,0.043648686771149,0.02,0.02,0.05,0.0,3.0708515264538256
0.0012517973644695,9.374866781663538e-06,1.391753670637424e-06,-0.7556225143359193,-0.991568274594474,0.7847598888599203,1.0,1.0,1.0,0.0267723956092908,0.0440583672722721,0.0,0.0,0.02,0.01,3.0708307628815628
0.0012517724686493,9.102556549049548e-06,1.5757773753892036e-06,-0.8125003946997811,-0.9943386127069134,0.8521212171393927,1.0,1.0,1.0,0.026777208597411,0.0440297018418773,0.02,0.02,0.02,0.0,3.070806910439288
0.0012517674703803,9.099703708629746e-06,2.0583529703928e-06,-0.8128312948038853,-0.994730470114702,0.8638779649785274,1.0,1.0,1.0,0.0267687809540794,0.0440265369808761,0.02,0.05,0.05,0.01,3.0707953179349556
0.0012517761723002,9.09940470676734e-06,1.389463570911628e-06,-0.8128850673314996,-0.9916640167963992,0.8342001701906752,1.0,1.0,1.0,0.0280409887424311,0.0427093529561234,0.02,0.0,0.05,0.01,3.0707503416985547
0.0012517761667422,9.104586794146068e-06,1.393314161464372e-06,-0.8122562895146925,-0.9914958250136274,0.8360785692495292,1.0,1.0,1.0,0.0267791393988446,0.0439666969865445,0.02,0.0,0.0,0.01,3.070745836385389
0.0012517361758852,8.75129629727078e-06,2.046780972081422e-06,-0.8628230450771462,-0.9944852547302222,0.9068546256132468,1.0,1.0,1.0,0.028038778166618,0.0427035969654353,0.05,0.05,0.0,0.01,3.0707423751320535
0.0012517449485258,8.746479457691643e-06,1.3893096554773564e-06,-0.8632340045044967,-0.9916554474593848,0.8780985914239684,1.0,1.0,1.0,0.0272080083077656,0.043529897607641,0.05,0.0,0.05,0.03,3.0707379059154065
0.0012517886628392,9.371976728979237e-06,2.058635522789324e-06,-0.7560596279439604,-0.9947290832344636,0.8148119244341115,1.0,1.0,1.0,0.0272022398792475,0.0435086472338926,0.0,0.05,0.05,0.0,3.07071088711314
0.0012517449346307,8.751290416399494e-06,1.3933150276397655e-06,-0.8628230960637339,-0.991495837569696,0.8798922882287472,1.0,1.0,1.0,0.0267809481225001,0.0439263769898791,0.05,0.0,0.0,0.03,3.0707073251123793
